"","Subject","trial.number","Observation.id","food.loc","distract.loc","n_searches","delay","load","baiting","interval","first.search.time","first.search.loc","time.to.search","first.search","food.loc.row","food.loc.col","first.search.row","first.search.col"
"1","Alba","1","Alba_E1_S1_T1","C2","None",1,"M","1",35.24,10.88,47.64,"C2",12.4,1,"C","2","C","2"
"2","Alba","10","Alba_E1_S2_T3-4","E1","B1",2,"L","2",92.12,10.96,104.48,"E3",12.36,0,"E","1","E","3"
"3","Alba","11","Alba_E1_S2_T5-6","B3","E2",3,"M","2",53.32,10.32,66.24,"B1",12.92,0,"B","3","B","1"
"4","Alba","12","Alba_E1_S2_T5-6","F1","C2",1,"S","2",112.64,7.12,125.04,"F1",12.4,1,"F","1","F","1"
"5","Alba","13","Alba_E1_S3_T1-6","D2","None",2,"M","1",21.72,8.04,32.4,"D3",10.68,0,"D","2","D","3"
"6","Alba","14","Alba_E1_S3_T1-6","F1","None",3,"S","1",66.84,6.75999999999999,75.56,"F3",8.72,0,"F","1","F","3"
"7","Alba","15","Alba_E1_S3_T1-6","A1","None",1,"L","1",106.52,11.76,120.24,"A1",13.72,1,"A","1","A","1"
"8","Alba","16","Alba_E1_S3_T1-6","C3","F1",3,"M","2",178.88,9.92000000000002,192.48,"C1",13.6,0,"C","3","C","1"
"9","Alba","17","Alba_E1_S3_T1-6","B3","E1",1,"L","2",244.08,12.28,258.2,"B3",14.12,1,"B","3","B","3"
"10","Alba","18","Alba_E1_S3_T1-6","E2","B3",1,"S","2",303.6,7.56,312.8,"E2",9.19999999999999,1,"E","2","E","2"
"11","Alba","19","Alba_E1_S4_T1-6","C1","F1",2,"M","2",40.28,8.4,50.28,"C2",10,0,"C","1","C","2"
"12","Alba","2","Alba_E1_S1_T2","F2","None",1,"L","1",28.64,10,40.6,"F2",11.96,1,"F","2","F","2"
"13","Alba","20","Alba_E1_S4_T1-6","A3","D1",1,"L","2",112,10.96,124.6,"A3",12.6,1,"A","3","A","3"
"14","Alba","21","Alba_E1_S4_T1-6","B2","None",2,"L","1",171.2,11.72,184.56,"B3",13.36,0,"B","2","B","3"
"15","Alba","22","Alba_E1_S4_T1-6","E2","None",2,"S","1",225.36,6.31999999999999,233.08,"E3",7.72,0,"E","2","E","3"
"16","Alba","23","Alba_E1_S4_T1-6","D1","None",2,"M","1",261.28,8.12,271.32,"D2",10.04,0,"D","1","D","2"
"17","Alba","24","Alba_E1_S4_T1-6","F3","C2",1,"S","2",323.32,7.40000000000003,337.68,"F3",14.36,1,"F","3","F","3"
"18","Alba","25","Alba_E1_S5_T1-3","B1","None",1,"M","1",19.24,9.36,30.44,"B1",11.2,1,"B","1","B","1"
"19","Alba","26","Alba_E1_S5_T1-3","E3","B3",1,"L","2",72,12.24,85.4,"E3",13.4,1,"E","3","E","3"
"20","Alba","27","Alba_E1_S5_T1-3","D1","A2",3,"S","2",120.68,8.75999999999999,130.96,"D3",10.28,0,"D","1","D","3"
"21","Alba","28","Alba_E1_S5_T4-5","C3","None",1,"L","1",18.8,12.24,32.44,"C3",13.64,1,"C","3","C","3"
"22","Alba","29","Alba_E1_S5_T4-5","F2","None",1,"S","1",71.48,8.92,82.16,"F2",10.68,1,"F","2","F","2"
"23","Alba","3","Alba_E1_S1_T3-6","A1","None",2,"S","1",26.6,11.04,39.88,"A2",13.28,0,"A","1","A","2"
"24","Alba","30","Alba_E1_S5_T6","A2","D1",1,"M","2",31.76,8.56,42.04,"A2",10.28,1,"A","2","A","2"
"25","Alba","31","Alba_E1_S6_T1-2","C2","None",1,"S","1",24.68,6.68,32.64,"C2",7.96,1,"C","2","C","2"
"26","Alba","32","Alba_E1_S6_T1-2","B2","E3",1,"L","2",70.32,11.32,83.48,"B2",13.16,1,"B","2","B","2"
"27","Alba","4","Alba_E1_S1_T3-6","B1","E1",1,"L","2",96.88,15.4,114.68,"B1",17.8,1,"B","1","B","1"
"28","Alba","5","Alba_E1_S1_T3-6","D3","A2",2,"M","2",174.44,13.88,191.56,"D2",17.12,0,"D","3","D","2"
"29","Alba","6","Alba_E1_S1_T3-6","E3","B2",1,"S","2",255.04,8.59999999999999,264.92,"E3",9.88000000000002,1,"E","3","E","3"
"30","Alba","7","Alba_E1_S2_T1-2","A3","None",1,"L","1",32.48,9.84,43.72,"A1",11.24,1,"A","3","A","1"
"31","Alba","8","Alba_E1_S2_T1-2","C2","None",1,"S","1",84.8,3.92,91.56,"C2",6.76000000000001,1,"C","2","C","2"
"32","Alba","9","Alba_E1_S2_T3-4","D2","None",2,"M","1",30.6,8.36,40.36,"D3",9.76,0,"D","2","D","3"
"33","Carlos","1","Carlos_E1_S1_T1-6","A2","D1",8,"L","2",43.04,12.68,58.48,"A1",15.44,0,"A","2","A","1"
"34","Carlos","10","Carlos_E1_S2_T1-6","C2","F2",1,"S","2",189.96,7.23999999999998,199.6,"C2",9.63999999999999,1,"C","2","C","2"
"35","Carlos","11","Carlos_E1_S2_T1-6","F1","None",2,"S","1",237.92,7.76000000000002,247.84,"F2",9.92000000000002,0,"F","1","F","2"
"36","Carlos","12","Carlos_E1_S2_T1-6","A3","D2",1,"L","2",288.64,11.4,302.88,"A3",14.24,1,"A","3","A","3"
"37","Carlos","13","Carlos_E1_S3_T1-6","B3","E1",1,"M","2",43.44,8.24,53.96,"B3",10.52,1,"B","3","B","3"
"38","Carlos","14","Carlos_E1_S3_T1-6","E2","B3",1,"S","2",93.12,6.52,101.72,"E2",8.59999999999999,1,"E","2","E","2"
"39","Carlos","15","Carlos_E1_S3_T1-6","A1","D1",1,"L","2",145.08,12.76,159.72,"A1",14.64,1,"A","1","A","1"
"40","Carlos","16","Carlos_E1_S3_T1-6","C1","None",1,"L","1",211.96,11.4,225.4,"C1",13.44,1,"C","1","C","1"
"41","Carlos","17","Carlos_E1_S3_T1-6","D3","None",1,"M","1",254.52,8.08000000000001,264.52,"D3",9.99999999999997,1,"D","3","D","3"
"42","Carlos","18","Carlos_E1_S3_T1-6","F2","None",1,"S","1",294.4,6.40000000000003,302.56,"F2",8.16000000000003,1,"F","2","F","2"
"43","Carlos","19","Carlos_E1_S4_T1-6","A1","D2",2,"L","2",36.64,11.68,50.64,"A2",14,0,"A","1","A","2"
"44","Carlos","2","Carlos_E1_S1_T1-6","D1","None",1,"M","1",121.32,8.08000000000001,131.4,"D1",10.08,1,"D","1","D","1"
"45","Carlos","20","Carlos_E1_S4_T1-6","F3","C1",2,"S","2",125.08,8.08,135.6,"F1",10.52,0,"F","3","F","1"
"46","Carlos","21","Carlos_E1_S4_T1-6","D2","A2",2,"M","2",183.36,8.55999999999997,193.88,"D3",10.52,0,"D","2","D","3"
"47","Carlos","22","Carlos_E1_S4_T1-6","B2","None",1,"S","1",233.8,6.47999999999999,241.92,"B2",8.11999999999998,1,"B","2","B","2"
"48","Carlos","23","Carlos_E1_S4_T1-6","E1","None",2,"L","1",273.52,11.52,287.2,"E2",13.68,0,"E","1","E","2"
"49","Carlos","24","Carlos_E1_S4_T1-6","C3","None",1,"M","1",316.64,8.08000000000004,326.72,"C3",10.08,1,"C","3","C","3"
