N_Jobs_Total: 2520
Job: 1981, N_Quanta: 22, epsilon: 0.8, NT_per_Second: 25
Job: 1982, N_Quanta: 22, epsilon: 0.8, NT_per_Second: 50
Job: 1983, N_Quanta: 22, epsilon: 0.8, NT_per_Second: 100
Job: 1984, N_Quanta: 22, epsilon: 0.8, NT_per_Second: 200
Job: 1985, N_Quanta: 22, epsilon: 0.8, NT_per_Second: 400
Job: 1986, N_Quanta: 22, epsilon: 0.8, NT_per_Second: 800
Job: 1987, N_Quanta: 24, epsilon: 0.8, NT_per_Second: 25
Job: 1988, N_Quanta: 24, epsilon: 0.8, NT_per_Second: 50
Job: 1989, N_Quanta: 24, epsilon: 0.8, NT_per_Second: 100
Job: 1990, N_Quanta: 24, epsilon: 0.8, NT_per_Second: 200
Job: 1991, N_Quanta: 24, epsilon: 0.8, NT_per_Second: 400
Job: 1992, N_Quanta: 24, epsilon: 0.8, NT_per_Second: 800
Job: 1993, N_Quanta: 26, epsilon: 0.8, NT_per_Second: 25
Job: 1994, N_Quanta: 26, epsilon: 0.8, NT_per_Second: 50
Job: 1995, N_Quanta: 26, epsilon: 0.8, NT_per_Second: 100
Job: 1996, N_Quanta: 26, epsilon: 0.8, NT_per_Second: 200
Job: 1997, N_Quanta: 26, epsilon: 0.8, NT_per_Second: 400
Job: 1998, N_Quanta: 26, epsilon: 0.8, NT_per_Second: 800
Job: 1999, N_Quanta: 28, epsilon: 0.8, NT_per_Second: 25
Job: 2000, N_Quanta: 28, epsilon: 0.8, NT_per_Second: 50
Job: 2001, N_Quanta: 28, epsilon: 0.8, NT_per_Second: 100
Job: 2002, N_Quanta: 28, epsilon: 0.8, NT_per_Second: 200
Job: 2003, N_Quanta: 28, epsilon: 0.8, NT_per_Second: 400
Job: 2004, N_Quanta: 28, epsilon: 0.8, NT_per_Second: 800
Job: 2005, N_Quanta: 30, epsilon: 0.8, NT_per_Second: 25
Job: 2006, N_Quanta: 30, epsilon: 0.8, NT_per_Second: 50
Job: 2007, N_Quanta: 30, epsilon: 0.8, NT_per_Second: 100
Job: 2008, N_Quanta: 30, epsilon: 0.8, NT_per_Second: 200
Job: 2009, N_Quanta: 30, epsilon: 0.8, NT_per_Second: 400
Job: 2010, N_Quanta: 30, epsilon: 0.8, NT_per_Second: 800
Job: 2011, N_Quanta: 32, epsilon: 0.8, NT_per_Second: 25
Job: 2012, N_Quanta: 32, epsilon: 0.8, NT_per_Second: 50
Job: 2013, N_Quanta: 32, epsilon: 0.8, NT_per_Second: 100
Job: 2014, N_Quanta: 32, epsilon: 0.8, NT_per_Second: 200
Job: 2015, N_Quanta: 32, epsilon: 0.8, NT_per_Second: 400
Job: 2016, N_Quanta: 32, epsilon: 0.8, NT_per_Second: 800
Job: 2017, N_Quanta: 34, epsilon: 0.8, NT_per_Second: 25
Job: 2018, N_Quanta: 34, epsilon: 0.8, NT_per_Second: 50
Job: 2019, N_Quanta: 34, epsilon: 0.8, NT_per_Second: 100
Job: 2020, N_Quanta: 34, epsilon: 0.8, NT_per_Second: 200
Job: 2021, N_Quanta: 34, epsilon: 0.8, NT_per_Second: 400
Job: 2022, N_Quanta: 34, epsilon: 0.8, NT_per_Second: 800
Job: 2023, N_Quanta: 36, epsilon: 0.8, NT_per_Second: 25
Job: 2024, N_Quanta: 36, epsilon: 0.8, NT_per_Second: 50
Job: 2025, N_Quanta: 36, epsilon: 0.8, NT_per_Second: 100
Job: 2026, N_Quanta: 36, epsilon: 0.8, NT_per_Second: 200
Job: 2027, N_Quanta: 36, epsilon: 0.8, NT_per_Second: 400
Job: 2028, N_Quanta: 36, epsilon: 0.8, NT_per_Second: 800
Job: 2029, N_Quanta: 38, epsilon: 0.8, NT_per_Second: 25
Job: 2030, N_Quanta: 38, epsilon: 0.8, NT_per_Second: 50
Job: 2031, N_Quanta: 38, epsilon: 0.8, NT_per_Second: 100
Job: 2032, N_Quanta: 38, epsilon: 0.8, NT_per_Second: 200
Job: 2033, N_Quanta: 38, epsilon: 0.8, NT_per_Second: 400
Job: 2034, N_Quanta: 38, epsilon: 0.8, NT_per_Second: 800
Job: 2035, N_Quanta: 40, epsilon: 0.8, NT_per_Second: 25
Job: 2036, N_Quanta: 40, epsilon: 0.8, NT_per_Second: 50
Job: 2037, N_Quanta: 40, epsilon: 0.8, NT_per_Second: 100
Job: 2038, N_Quanta: 40, epsilon: 0.8, NT_per_Second: 200
Job: 2039, N_Quanta: 40, epsilon: 0.8, NT_per_Second: 400
Job: 2040, N_Quanta: 40, epsilon: 0.8, NT_per_Second: 800
Job: 2041, N_Quanta: 2, epsilon: 0.85, NT_per_Second: 25
Job: 2042, N_Quanta: 2, epsilon: 0.85, NT_per_Second: 50
Job: 2043, N_Quanta: 2, epsilon: 0.85, NT_per_Second: 100
Job: 2044, N_Quanta: 2, epsilon: 0.85, NT_per_Second: 200
Job: 2045, N_Quanta: 2, epsilon: 0.85, NT_per_Second: 400
Job: 2046, N_Quanta: 2, epsilon: 0.85, NT_per_Second: 800
Job: 2047, N_Quanta: 4, epsilon: 0.85, NT_per_Second: 25
Job: 2048, N_Quanta: 4, epsilon: 0.85, NT_per_Second: 50
Job: 2049, N_Quanta: 4, epsilon: 0.85, NT_per_Second: 100
Job: 2050, N_Quanta: 4, epsilon: 0.85, NT_per_Second: 200
Job: 2051, N_Quanta: 4, epsilon: 0.85, NT_per_Second: 400
Job: 2052, N_Quanta: 4, epsilon: 0.85, NT_per_Second: 800
Job: 2053, N_Quanta: 6, epsilon: 0.85, NT_per_Second: 25
Job: 2054, N_Quanta: 6, epsilon: 0.85, NT_per_Second: 50
Job: 2055, N_Quanta: 6, epsilon: 0.85, NT_per_Second: 100
Job: 2056, N_Quanta: 6, epsilon: 0.85, NT_per_Second: 200
Job: 2057, N_Quanta: 6, epsilon: 0.85, NT_per_Second: 400
Job: 2058, N_Quanta: 6, epsilon: 0.85, NT_per_Second: 800
Job: 2059, N_Quanta: 8, epsilon: 0.85, NT_per_Second: 25
Job: 2060, N_Quanta: 8, epsilon: 0.85, NT_per_Second: 50
Job: 2061, N_Quanta: 8, epsilon: 0.85, NT_per_Second: 100
Job: 2062, N_Quanta: 8, epsilon: 0.85, NT_per_Second: 200
Job: 2063, N_Quanta: 8, epsilon: 0.85, NT_per_Second: 400
Job: 2064, N_Quanta: 8, epsilon: 0.85, NT_per_Second: 800
Job: 2065, N_Quanta: 10, epsilon: 0.85, NT_per_Second: 25
Job: 2066, N_Quanta: 10, epsilon: 0.85, NT_per_Second: 50
Job: 2067, N_Quanta: 10, epsilon: 0.85, NT_per_Second: 100
Job: 2068, N_Quanta: 10, epsilon: 0.85, NT_per_Second: 200
Job: 2069, N_Quanta: 10, epsilon: 0.85, NT_per_Second: 400
Job: 2070, N_Quanta: 10, epsilon: 0.85, NT_per_Second: 800
Job: 2071, N_Quanta: 12, epsilon: 0.85, NT_per_Second: 25
Job: 2072, N_Quanta: 12, epsilon: 0.85, NT_per_Second: 50
Job: 2073, N_Quanta: 12, epsilon: 0.85, NT_per_Second: 100
Job: 2074, N_Quanta: 12, epsilon: 0.85, NT_per_Second: 200
Job: 2075, N_Quanta: 12, epsilon: 0.85, NT_per_Second: 400
Job: 2076, N_Quanta: 12, epsilon: 0.85, NT_per_Second: 800
Job: 2077, N_Quanta: 14, epsilon: 0.85, NT_per_Second: 25
Job: 2078, N_Quanta: 14, epsilon: 0.85, NT_per_Second: 50
Job: 2079, N_Quanta: 14, epsilon: 0.85, NT_per_Second: 100
Job: 2080, N_Quanta: 14, epsilon: 0.85, NT_per_Second: 200
Job: 2081, N_Quanta: 14, epsilon: 0.85, NT_per_Second: 400
Job: 2082, N_Quanta: 14, epsilon: 0.85, NT_per_Second: 800
Job: 2083, N_Quanta: 16, epsilon: 0.85, NT_per_Second: 25
Job: 2084, N_Quanta: 16, epsilon: 0.85, NT_per_Second: 50
Job: 2085, N_Quanta: 16, epsilon: 0.85, NT_per_Second: 100
Job: 2086, N_Quanta: 16, epsilon: 0.85, NT_per_Second: 200
Job: 2087, N_Quanta: 16, epsilon: 0.85, NT_per_Second: 400
Job: 2088, N_Quanta: 16, epsilon: 0.85, NT_per_Second: 800
Job: 2089, N_Quanta: 18, epsilon: 0.85, NT_per_Second: 25
Job: 2090, N_Quanta: 18, epsilon: 0.85, NT_per_Second: 50
Job: 2091, N_Quanta: 18, epsilon: 0.85, NT_per_Second: 100
Job: 2092, N_Quanta: 18, epsilon: 0.85, NT_per_Second: 200
Job: 2093, N_Quanta: 18, epsilon: 0.85, NT_per_Second: 400
Job: 2094, N_Quanta: 18, epsilon: 0.85, NT_per_Second: 800
Job: 2095, N_Quanta: 20, epsilon: 0.85, NT_per_Second: 25
Job: 2096, N_Quanta: 20, epsilon: 0.85, NT_per_Second: 50
Job: 2097, N_Quanta: 20, epsilon: 0.85, NT_per_Second: 100
Job: 2098, N_Quanta: 20, epsilon: 0.85, NT_per_Second: 200
Job: 2099, N_Quanta: 20, epsilon: 0.85, NT_per_Second: 400
Job: 2100, N_Quanta: 20, epsilon: 0.85, NT_per_Second: 800
Job: 2101, N_Quanta: 22, epsilon: 0.85, NT_per_Second: 25
Job: 2102, N_Quanta: 22, epsilon: 0.85, NT_per_Second: 50
Job: 2103, N_Quanta: 22, epsilon: 0.85, NT_per_Second: 100
Job: 2104, N_Quanta: 22, epsilon: 0.85, NT_per_Second: 200
Job: 2105, N_Quanta: 22, epsilon: 0.85, NT_per_Second: 400
Job: 2106, N_Quanta: 22, epsilon: 0.85, NT_per_Second: 800
Job: 2107, N_Quanta: 24, epsilon: 0.85, NT_per_Second: 25
Job: 2108, N_Quanta: 24, epsilon: 0.85, NT_per_Second: 50
Job: 2109, N_Quanta: 24, epsilon: 0.85, NT_per_Second: 100
Job: 2110, N_Quanta: 24, epsilon: 0.85, NT_per_Second: 200
Job: 2111, N_Quanta: 24, epsilon: 0.85, NT_per_Second: 400
Job: 2112, N_Quanta: 24, epsilon: 0.85, NT_per_Second: 800
Job: 2113, N_Quanta: 26, epsilon: 0.85, NT_per_Second: 25
Job: 2114, N_Quanta: 26, epsilon: 0.85, NT_per_Second: 50
Job: 2115, N_Quanta: 26, epsilon: 0.85, NT_per_Second: 100
Job: 2116, N_Quanta: 26, epsilon: 0.85, NT_per_Second: 200
Job: 2117, N_Quanta: 26, epsilon: 0.85, NT_per_Second: 400
Job: 2118, N_Quanta: 26, epsilon: 0.85, NT_per_Second: 800
Job: 2119, N_Quanta: 28, epsilon: 0.85, NT_per_Second: 25
Job: 2120, N_Quanta: 28, epsilon: 0.85, NT_per_Second: 50
Job: 2121, N_Quanta: 28, epsilon: 0.85, NT_per_Second: 100
Job: 2122, N_Quanta: 28, epsilon: 0.85, NT_per_Second: 200
Job: 2123, N_Quanta: 28, epsilon: 0.85, NT_per_Second: 400
Job: 2124, N_Quanta: 28, epsilon: 0.85, NT_per_Second: 800
Job: 2125, N_Quanta: 30, epsilon: 0.85, NT_per_Second: 25
Job: 2126, N_Quanta: 30, epsilon: 0.85, NT_per_Second: 50
Job: 2127, N_Quanta: 30, epsilon: 0.85, NT_per_Second: 100
Job: 2128, N_Quanta: 30, epsilon: 0.85, NT_per_Second: 200
Job: 2129, N_Quanta: 30, epsilon: 0.85, NT_per_Second: 400
Job: 2130, N_Quanta: 30, epsilon: 0.85, NT_per_Second: 800
Job: 2131, N_Quanta: 32, epsilon: 0.85, NT_per_Second: 25
Job: 2132, N_Quanta: 32, epsilon: 0.85, NT_per_Second: 50
Job: 2133, N_Quanta: 32, epsilon: 0.85, NT_per_Second: 100
Job: 2134, N_Quanta: 32, epsilon: 0.85, NT_per_Second: 200
Job: 2135, N_Quanta: 32, epsilon: 0.85, NT_per_Second: 400
Job: 2136, N_Quanta: 32, epsilon: 0.85, NT_per_Second: 800
Job: 2137, N_Quanta: 34, epsilon: 0.85, NT_per_Second: 25
Job: 2138, N_Quanta: 34, epsilon: 0.85, NT_per_Second: 50
Job: 2139, N_Quanta: 34, epsilon: 0.85, NT_per_Second: 100
Job: 2140, N_Quanta: 34, epsilon: 0.85, NT_per_Second: 200
Job: 2141, N_Quanta: 34, epsilon: 0.85, NT_per_Second: 400
Job: 2142, N_Quanta: 34, epsilon: 0.85, NT_per_Second: 800
Job: 2143, N_Quanta: 36, epsilon: 0.85, NT_per_Second: 25
Job: 2144, N_Quanta: 36, epsilon: 0.85, NT_per_Second: 50
Job: 2145, N_Quanta: 36, epsilon: 0.85, NT_per_Second: 100
Job: 2146, N_Quanta: 36, epsilon: 0.85, NT_per_Second: 200
Job: 2147, N_Quanta: 36, epsilon: 0.85, NT_per_Second: 400
Job: 2148, N_Quanta: 36, epsilon: 0.85, NT_per_Second: 800
Job: 2149, N_Quanta: 38, epsilon: 0.85, NT_per_Second: 25
Job: 2150, N_Quanta: 38, epsilon: 0.85, NT_per_Second: 50
Job: 2151, N_Quanta: 38, epsilon: 0.85, NT_per_Second: 100
Job: 2152, N_Quanta: 38, epsilon: 0.85, NT_per_Second: 200
Job: 2153, N_Quanta: 38, epsilon: 0.85, NT_per_Second: 400
Job: 2154, N_Quanta: 38, epsilon: 0.85, NT_per_Second: 800
Job: 2155, N_Quanta: 40, epsilon: 0.85, NT_per_Second: 25
