N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
19.50 secs, 2 evals, 1 steps, fitness=3.559071134
27.98 secs, 4 evals, 2 steps, fitness=3.559071134
50.15 secs, 6 evals, 3 steps, fitness=3.007489879
69.82 secs, 8 evals, 4 steps, improv/step: 0.250 (last = 1.0000), fitness=3.007489879
89.51 secs, 10 evals, 5 steps, improv/step: 0.200 (last = 0.0000), fitness=3.007489879
113.03 secs, 12 evals, 6 steps, improv/step: 0.167 (last = 0.0000), fitness=3.007489879
135.79 secs, 14 evals, 7 steps, improv/step: 0.286 (last = 1.0000), fitness=2.028358811
158.67 secs, 16 evals, 8 steps, improv/step: 0.375 (last = 1.0000), fitness=2.028358811
176.82 secs, 18 evals, 9 steps, improv/step: 0.333 (last = 0.0000), fitness=2.028358811
200.38 secs, 20 evals, 10 steps, improv/step: 0.400 (last = 1.0000), fitness=1.691664343
207.31 secs, 22 evals, 11 steps, improv/step: 0.364 (last = 0.0000), fitness=1.691664343
214.56 secs, 23 evals, 12 steps, improv/step: 0.333 (last = 0.0000), fitness=1.691664343
238.87 secs, 25 evals, 13 steps, improv/step: 0.385 (last = 1.0000), fitness=1.691664343
250.10 secs, 26 evals, 14 steps, improv/step: 0.357 (last = 0.0000), fitness=1.691664343
272.85 secs, 28 evals, 15 steps, improv/step: 0.400 (last = 1.0000), fitness=1.691664343
293.80 secs, 30 evals, 16 steps, improv/step: 0.438 (last = 1.0000), fitness=1.691664343
305.86 secs, 31 evals, 17 steps, improv/step: 0.471 (last = 1.0000), fitness=1.691664343
322.25 secs, 33 evals, 18 steps, improv/step: 0.444 (last = 0.0000), fitness=1.691664343
337.74 secs, 35 evals, 19 steps, improv/step: 0.474 (last = 1.0000), fitness=1.691664343
361.79 secs, 37 evals, 20 steps, improv/step: 0.450 (last = 0.0000), fitness=1.691664343
382.82 secs, 39 evals, 21 steps, improv/step: 0.429 (last = 0.0000), fitness=1.691664343
405.00 secs, 41 evals, 22 steps, improv/step: 0.409 (last = 0.0000), fitness=1.691664343
429.36 secs, 43 evals, 23 steps, improv/step: 0.391 (last = 0.0000), fitness=1.691664343
