N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
92.11 secs, 2 evals, 1 steps, fitness=4.718803053
167.67 secs, 4 evals, 2 steps, fitness=4.718803053
234.13 secs, 6 evals, 3 steps, fitness=4.718803053
332.21 secs, 8 evals, 4 steps, fitness=4.718803053
426.97 secs, 10 evals, 5 steps, fitness=4.718803053
519.13 secs, 12 evals, 6 steps, fitness=4.718803053
604.31 secs, 14 evals, 7 steps, fitness=4.718803053
702.46 secs, 16 evals, 8 steps, fitness=4.718803053
797.41 secs, 18 evals, 9 steps, fitness=4.718803053
886.31 secs, 20 evals, 10 steps, fitness=4.718803053
979.03 secs, 22 evals, 11 steps, improv/step: 0.091 (last = 1.0000), fitness=4.718803053
1076.93 secs, 24 evals, 12 steps, improv/step: 0.083 (last = 0.0000), fitness=4.718803053
1173.55 secs, 26 evals, 13 steps, improv/step: 0.077 (last = 0.0000), fitness=4.718803053
1264.17 secs, 28 evals, 14 steps, improv/step: 0.143 (last = 1.0000), fitness=4.718803053
1320.90 secs, 30 evals, 15 steps, improv/step: 0.133 (last = 0.0000), fitness=4.718803053
1406.51 secs, 32 evals, 16 steps, improv/step: 0.188 (last = 1.0000), fitness=4.718803053
1484.92 secs, 34 evals, 17 steps, improv/step: 0.235 (last = 1.0000), fitness=4.718803053
1566.84 secs, 36 evals, 18 steps, improv/step: 0.222 (last = 0.0000), fitness=4.718803053
1657.47 secs, 38 evals, 19 steps, improv/step: 0.263 (last = 1.0000), fitness=4.718803053
1736.78 secs, 40 evals, 20 steps, improv/step: 0.300 (last = 1.0000), fitness=4.718803053
1833.80 secs, 42 evals, 21 steps, improv/step: 0.286 (last = 0.0000), fitness=4.718803053
1907.05 secs, 44 evals, 22 steps, improv/step: 0.318 (last = 1.0000), fitness=4.718803053
1993.36 secs, 46 evals, 23 steps, improv/step: 0.348 (last = 1.0000), fitness=4.718803053
2062.30 secs, 48 evals, 24 steps, improv/step: 0.375 (last = 1.0000), fitness=4.718803053
2140.30 secs, 50 evals, 25 steps, improv/step: 0.400 (last = 1.0000), fitness=3.738554008
2217.08 secs, 52 evals, 26 steps, improv/step: 0.385 (last = 0.0000), fitness=3.738554008
2308.37 secs, 54 evals, 27 steps, improv/step: 0.370 (last = 0.0000), fitness=3.738554008
2402.01 secs, 56 evals, 28 steps, improv/step: 0.357 (last = 0.0000), fitness=3.738554008
2473.62 secs, 58 evals, 29 steps, improv/step: 0.379 (last = 1.0000), fitness=3.738554008
2568.60 secs, 60 evals, 30 steps, improv/step: 0.367 (last = 0.0000), fitness=3.738554008
2664.81 secs, 62 evals, 31 steps, improv/step: 0.387 (last = 1.0000), fitness=3.738554008
2760.83 secs, 64 evals, 32 steps, improv/step: 0.375 (last = 0.0000), fitness=3.738554008
2807.90 secs, 65 evals, 33 steps, improv/step: 0.394 (last = 1.0000), fitness=3.738554008
2873.78 secs, 67 evals, 34 steps, improv/step: 0.412 (last = 1.0000), fitness=3.738554008
2967.60 secs, 69 evals, 35 steps, improv/step: 0.400 (last = 0.0000), fitness=3.738554008
3015.06 secs, 70 evals, 36 steps, improv/step: 0.389 (last = 0.0000), fitness=3.738554008
3063.08 secs, 71 evals, 37 steps, improv/step: 0.378 (last = 0.0000), fitness=3.738554008
3126.02 secs, 73 evals, 38 steps, improv/step: 0.368 (last = 0.0000), fitness=3.738554008
3174.00 secs, 74 evals, 39 steps, improv/step: 0.385 (last = 1.0000), fitness=3.738554008
3271.64 secs, 76 evals, 40 steps, improv/step: 0.400 (last = 1.0000), fitness=3.738554008
3365.78 secs, 78 evals, 41 steps, improv/step: 0.390 (last = 0.0000), fitness=3.738554008
