N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
81.89 secs, 2 evals, 1 steps, fitness=8.114496487
175.88 secs, 4 evals, 2 steps, improv/step: 0.500 (last = 1.0000), fitness=8.114496487
256.34 secs, 6 evals, 3 steps, improv/step: 0.667 (last = 1.0000), fitness=4.085664420
344.61 secs, 8 evals, 4 steps, improv/step: 0.750 (last = 1.0000), fitness=4.085664420
437.74 secs, 10 evals, 5 steps, improv/step: 0.800 (last = 1.0000), fitness=4.085664420
488.81 secs, 12 evals, 6 steps, improv/step: 0.667 (last = 0.0000), fitness=3.674089490
568.27 secs, 14 evals, 7 steps, improv/step: 0.714 (last = 1.0000), fitness=3.674089490
647.01 secs, 16 evals, 8 steps, improv/step: 0.625 (last = 0.0000), fitness=3.674089490
728.00 secs, 18 evals, 9 steps, improv/step: 0.667 (last = 1.0000), fitness=2.366112038
773.61 secs, 19 evals, 10 steps, improv/step: 0.600 (last = 0.0000), fitness=2.366112038
866.94 secs, 21 evals, 11 steps, improv/step: 0.636 (last = 1.0000), fitness=2.366112038
956.34 secs, 23 evals, 12 steps, improv/step: 0.583 (last = 0.0000), fitness=2.366112038
987.68 secs, 24 evals, 13 steps, improv/step: 0.615 (last = 1.0000), fitness=2.366112038
1010.91 secs, 25 evals, 14 steps, improv/step: 0.643 (last = 1.0000), fitness=2.366112038
1106.64 secs, 27 evals, 15 steps, improv/step: 0.600 (last = 0.0000), fitness=2.366112038
1179.51 secs, 29 evals, 16 steps, improv/step: 0.625 (last = 1.0000), fitness=2.366112038
1271.08 secs, 31 evals, 17 steps, improv/step: 0.647 (last = 1.0000), fitness=2.366112038
1360.22 secs, 33 evals, 18 steps, improv/step: 0.667 (last = 1.0000), fitness=2.366112038
1431.39 secs, 35 evals, 19 steps, improv/step: 0.632 (last = 0.0000), fitness=2.366112038
1476.52 secs, 36 evals, 20 steps, improv/step: 0.600 (last = 0.0000), fitness=2.366112038
1572.35 secs, 38 evals, 21 steps, improv/step: 0.619 (last = 1.0000), fitness=2.366112038
1613.59 secs, 39 evals, 22 steps, improv/step: 0.591 (last = 0.0000), fitness=2.366112038
1628.47 secs, 40 evals, 23 steps, improv/step: 0.565 (last = 0.0000), fitness=2.366112038
1720.06 secs, 42 evals, 24 steps, improv/step: 0.542 (last = 0.0000), fitness=2.366112038
1751.02 secs, 43 evals, 25 steps, improv/step: 0.560 (last = 1.0000), fitness=1.182765099
1819.43 secs, 45 evals, 26 steps, improv/step: 0.538 (last = 0.0000), fitness=1.182765099
1903.96 secs, 47 evals, 27 steps, improv/step: 0.556 (last = 1.0000), fitness=1.182765099
1986.69 secs, 49 evals, 28 steps, improv/step: 0.571 (last = 1.0000), fitness=1.182765099
2033.83 secs, 50 evals, 29 steps, improv/step: 0.552 (last = 0.0000), fitness=1.182765099
2122.47 secs, 52 evals, 30 steps, improv/step: 0.567 (last = 1.0000), fitness=1.182765099
2209.62 secs, 54 evals, 31 steps, improv/step: 0.548 (last = 0.0000), fitness=1.182765099
2287.82 secs, 56 evals, 32 steps, improv/step: 0.562 (last = 1.0000), fitness=1.182765099
2334.77 secs, 57 evals, 33 steps, improv/step: 0.545 (last = 0.0000), fitness=1.182765099
2350.02 secs, 58 evals, 34 steps, improv/step: 0.529 (last = 0.0000), fitness=1.182765099
2390.63 secs, 59 evals, 35 steps, improv/step: 0.514 (last = 0.0000), fitness=1.182765099
2461.86 secs, 61 evals, 36 steps, improv/step: 0.500 (last = 0.0000), fitness=1.182765099
2549.84 secs, 63 evals, 37 steps, improv/step: 0.514 (last = 1.0000), fitness=1.182765099
2592.73 secs, 64 evals, 38 steps, improv/step: 0.500 (last = 0.0000), fitness=1.182765099
2633.06 secs, 65 evals, 39 steps, improv/step: 0.513 (last = 1.0000), fitness=1.182765099
2727.77 secs, 67 evals, 40 steps, improv/step: 0.500 (last = 0.0000), fitness=1.182765099
2742.46 secs, 68 evals, 41 steps, improv/step: 0.488 (last = 0.0000), fitness=1.182765099
2830.43 secs, 70 evals, 42 steps, improv/step: 0.500 (last = 1.0000), fitness=1.182765099
2921.75 secs, 72 evals, 43 steps, improv/step: 0.512 (last = 1.0000), fitness=1.182765099
2967.49 secs, 73 evals, 44 steps, improv/step: 0.500 (last = 0.0000), fitness=1.182765099
3040.41 secs, 75 evals, 45 steps, improv/step: 0.511 (last = 1.0000), fitness=1.182765099
3087.87 secs, 76 evals, 46 steps, improv/step: 0.500 (last = 0.0000), fitness=1.182765099
3132.75 secs, 77 evals, 47 steps, improv/step: 0.489 (last = 0.0000), fitness=1.182765099
3171.02 secs, 78 evals, 48 steps, improv/step: 0.500 (last = 1.0000), fitness=1.182765099
3246.06 secs, 80 evals, 49 steps, improv/step: 0.490 (last = 0.0000), fitness=1.182765099
3339.46 secs, 82 evals, 50 steps, improv/step: 0.500 (last = 1.0000), fitness=1.182765099
3423.93 secs, 84 evals, 51 steps, improv/step: 0.510 (last = 1.0000), fitness=1.182765099
3517.57 secs, 86 evals, 52 steps, improv/step: 0.519 (last = 1.0000), fitness=1.182765099
3554.89 secs, 87 evals, 53 steps, improv/step: 0.528 (last = 1.0000), fitness=1.182765099
3595.50 secs, 88 evals, 54 steps, improv/step: 0.537 (last = 1.0000), fitness=1.182765099
3656.79 secs, 90 evals, 55 steps, improv/step: 0.545 (last = 1.0000), fitness=1.182765099
3745.73 secs, 92 evals, 56 steps, improv/step: 0.554 (last = 1.0000), fitness=1.182765099
3791.19 secs, 93 evals, 57 steps, improv/step: 0.544 (last = 0.0000), fitness=1.182765099
3878.06 secs, 95 evals, 58 steps, improv/step: 0.552 (last = 1.0000), fitness=1.182765099
3920.52 secs, 96 evals, 59 steps, improv/step: 0.542 (last = 0.0000), fitness=1.182765099
3998.09 secs, 98 evals, 60 steps, improv/step: 0.533 (last = 0.0000), fitness=1.182765099
4044.03 secs, 99 evals, 61 steps, improv/step: 0.525 (last = 0.0000), fitness=1.182765099
4137.41 secs, 101 evals, 62 steps, improv/step: 0.516 (last = 0.0000), fitness=1.182765099
4231.33 secs, 103 evals, 63 steps, improv/step: 0.508 (last = 0.0000), fitness=1.182765099
4319.64 secs, 105 evals, 64 steps, improv/step: 0.516 (last = 1.0000), fitness=1.182765099
4349.44 secs, 106 evals, 65 steps, improv/step: 0.523 (last = 1.0000), fitness=1.182765099
4392.73 secs, 107 evals, 66 steps, improv/step: 0.530 (last = 1.0000), fitness=1.182765099
4422.33 secs, 109 evals, 67 steps, improv/step: 0.522 (last = 0.0000), fitness=1.182765099
4465.01 secs, 110 evals, 68 steps, improv/step: 0.529 (last = 1.0000), fitness=1.182765099
4551.87 secs, 112 evals, 69 steps, improv/step: 0.522 (last = 0.0000), fitness=1.182765099
4598.61 secs, 113 evals, 70 steps, improv/step: 0.514 (last = 0.0000), fitness=1.182765099
4639.83 secs, 114 evals, 71 steps, improv/step: 0.507 (last = 0.0000), fitness=1.182765099
4689.57 secs, 116 evals, 72 steps, improv/step: 0.514 (last = 1.0000), fitness=1.182765099
4734.10 secs, 117 evals, 73 steps, improv/step: 0.507 (last = 0.0000), fitness=1.182765099
4764.38 secs, 119 evals, 74 steps, improv/step: 0.514 (last = 1.0000), fitness=1.182765099
4852.30 secs, 121 evals, 75 steps, improv/step: 0.507 (last = 0.0000), fitness=1.182765099
