N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
206.76 secs, 2 evals, 1 steps, fitness=10.423028643
349.35 secs, 4 evals, 2 steps, fitness=9.718641941
525.09 secs, 6 evals, 3 steps, improv/step: 0.333 (last = 1.0000), fitness=9.718641941
717.11 secs, 8 evals, 4 steps, improv/step: 0.500 (last = 1.0000), fitness=4.793779725
933.29 secs, 10 evals, 5 steps, improv/step: 0.600 (last = 1.0000), fitness=4.793779725
1128.54 secs, 12 evals, 6 steps, improv/step: 0.500 (last = 0.0000), fitness=4.793779725
1316.97 secs, 14 evals, 7 steps, improv/step: 0.571 (last = 1.0000), fitness=4.793779725
1412.63 secs, 15 evals, 8 steps, improv/step: 0.625 (last = 1.0000), fitness=4.793779725
1590.04 secs, 17 evals, 9 steps, improv/step: 0.667 (last = 1.0000), fitness=4.793779725
1771.05 secs, 19 evals, 10 steps, improv/step: 0.600 (last = 0.0000), fitness=4.793779725
1954.48 secs, 21 evals, 11 steps, improv/step: 0.545 (last = 0.0000), fitness=4.793779725
2143.69 secs, 23 evals, 12 steps, improv/step: 0.500 (last = 0.0000), fitness=4.793779725
2260.67 secs, 25 evals, 13 steps, improv/step: 0.538 (last = 1.0000), fitness=4.793779725
2441.52 secs, 27 evals, 14 steps, improv/step: 0.571 (last = 1.0000), fitness=4.793779725
2592.77 secs, 29 evals, 15 steps, improv/step: 0.600 (last = 1.0000), fitness=4.793779725
2630.25 secs, 30 evals, 16 steps, improv/step: 0.562 (last = 0.0000), fitness=4.793779725
2722.40 secs, 32 evals, 17 steps, improv/step: 0.588 (last = 1.0000), fitness=4.793779725
2894.72 secs, 34 evals, 18 steps, improv/step: 0.556 (last = 0.0000), fitness=4.793779725
3075.12 secs, 36 evals, 19 steps, improv/step: 0.579 (last = 1.0000), fitness=4.793779725
3210.79 secs, 38 evals, 20 steps, improv/step: 0.600 (last = 1.0000), fitness=3.824436963
3308.96 secs, 40 evals, 21 steps, improv/step: 0.619 (last = 1.0000), fitness=3.824436963
3486.77 secs, 42 evals, 22 steps, improv/step: 0.636 (last = 1.0000), fitness=3.824436963
3550.94 secs, 44 evals, 23 steps, improv/step: 0.609 (last = 0.0000), fitness=3.824436963
3678.74 secs, 46 evals, 24 steps, improv/step: 0.583 (last = 0.0000), fitness=3.824436963
3738.06 secs, 47 evals, 25 steps, improv/step: 0.600 (last = 1.0000), fitness=3.824436963
3918.41 secs, 49 evals, 26 steps, improv/step: 0.615 (last = 1.0000), fitness=3.824436963
4062.66 secs, 51 evals, 27 steps, improv/step: 0.593 (last = 0.0000), fitness=3.824436963
4124.35 secs, 53 evals, 28 steps, improv/step: 0.607 (last = 1.0000), fitness=3.824436963
4297.89 secs, 55 evals, 29 steps, improv/step: 0.586 (last = 0.0000), fitness=3.824436963
4485.18 secs, 57 evals, 30 steps, improv/step: 0.567 (last = 0.0000), fitness=3.824436963
4663.60 secs, 59 evals, 31 steps, improv/step: 0.548 (last = 0.0000), fitness=3.824436963
4744.50 secs, 60 evals, 32 steps, improv/step: 0.531 (last = 0.0000), fitness=3.824436963
4774.32 secs, 61 evals, 33 steps, improv/step: 0.515 (last = 0.0000), fitness=3.824436963
4947.67 secs, 63 evals, 34 steps, improv/step: 0.500 (last = 0.0000), fitness=3.824436963
5120.68 secs, 65 evals, 35 steps, improv/step: 0.514 (last = 1.0000), fitness=3.824436963
5289.79 secs, 67 evals, 36 steps, improv/step: 0.500 (last = 0.0000), fitness=3.824436963
5441.30 secs, 69 evals, 37 steps, improv/step: 0.486 (last = 0.0000), fitness=3.824436963
5524.19 secs, 70 evals, 38 steps, improv/step: 0.500 (last = 1.0000), fitness=3.824436963
5683.90 secs, 72 evals, 39 steps, improv/step: 0.487 (last = 0.0000), fitness=3.824436963
5757.12 secs, 73 evals, 40 steps, improv/step: 0.500 (last = 1.0000), fitness=3.824436963
5895.10 secs, 75 evals, 41 steps, improv/step: 0.512 (last = 1.0000), fitness=3.824436963
5981.44 secs, 76 evals, 42 steps, improv/step: 0.500 (last = 0.0000), fitness=3.824436963
