N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
107.95 secs, 2 evals, 1 steps, fitness=7.938664413
252.27 secs, 4 evals, 2 steps, fitness=7.938664413
407.73 secs, 6 evals, 3 steps, fitness=7.938664413
542.61 secs, 8 evals, 4 steps, fitness=7.938664413
684.81 secs, 10 evals, 5 steps, improv/step: 0.200 (last = 1.0000), fitness=7.938664413
831.76 secs, 12 evals, 6 steps, improv/step: 0.167 (last = 0.0000), fitness=7.938664413
980.61 secs, 14 evals, 7 steps, improv/step: 0.143 (last = 0.0000), fitness=7.938664413
1110.96 secs, 16 evals, 8 steps, improv/step: 0.250 (last = 1.0000), fitness=7.938664413
1252.27 secs, 18 evals, 9 steps, improv/step: 0.333 (last = 1.0000), fitness=7.938664413
1367.58 secs, 20 evals, 10 steps, improv/step: 0.400 (last = 1.0000), fitness=7.938664413
1513.75 secs, 22 evals, 11 steps, improv/step: 0.455 (last = 1.0000), fitness=7.938664413
1654.26 secs, 24 evals, 12 steps, improv/step: 0.500 (last = 1.0000), fitness=7.938664413
1719.32 secs, 25 evals, 13 steps, improv/step: 0.538 (last = 1.0000), fitness=7.938664413
1862.20 secs, 27 evals, 14 steps, improv/step: 0.500 (last = 0.0000), fitness=7.938664413
2004.39 secs, 29 evals, 15 steps, improv/step: 0.533 (last = 1.0000), fitness=7.938664413
2145.29 secs, 31 evals, 16 steps, improv/step: 0.500 (last = 0.0000), fitness=7.938664413
2292.02 secs, 33 evals, 17 steps, improv/step: 0.529 (last = 1.0000), fitness=7.938664413
2428.34 secs, 35 evals, 18 steps, improv/step: 0.500 (last = 0.0000), fitness=7.938664413
2573.29 secs, 37 evals, 19 steps, improv/step: 0.526 (last = 1.0000), fitness=7.938664413
2699.14 secs, 39 evals, 20 steps, improv/step: 0.550 (last = 1.0000), fitness=7.938664413
2848.94 secs, 41 evals, 21 steps, improv/step: 0.524 (last = 0.0000), fitness=7.938664413
