N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
144.27 secs, 2 evals, 1 steps, improv/step: 1.000 (last = 1.0000), fitness=34.983568220
252.06 secs, 4 evals, 2 steps, improv/step: 1.000 (last = 1.0000), fitness=5.490485914
403.30 secs, 6 evals, 3 steps, improv/step: 1.000 (last = 1.0000), fitness=5.490485914
566.39 secs, 8 evals, 4 steps, improv/step: 0.750 (last = 0.0000), fitness=5.490485914
736.55 secs, 10 evals, 5 steps, improv/step: 0.800 (last = 1.0000), fitness=5.490485914
861.23 secs, 12 evals, 6 steps, improv/step: 0.667 (last = 0.0000), fitness=5.237858734
1029.71 secs, 14 evals, 7 steps, improv/step: 0.714 (last = 1.0000), fitness=5.237858734
1171.71 secs, 16 evals, 8 steps, improv/step: 0.625 (last = 0.0000), fitness=5.237858734
1338.01 secs, 18 evals, 9 steps, improv/step: 0.667 (last = 1.0000), fitness=5.237858734
1465.54 secs, 20 evals, 10 steps, improv/step: 0.600 (last = 0.0000), fitness=5.237858734
1538.05 secs, 22 evals, 11 steps, improv/step: 0.636 (last = 1.0000), fitness=1.279524598
1705.07 secs, 24 evals, 12 steps, improv/step: 0.583 (last = 0.0000), fitness=1.279524598
1841.93 secs, 26 evals, 13 steps, improv/step: 0.538 (last = 0.0000), fitness=1.279524598
2001.83 secs, 28 evals, 14 steps, improv/step: 0.571 (last = 1.0000), fitness=1.279524598
2060.74 secs, 29 evals, 15 steps, improv/step: 0.533 (last = 0.0000), fitness=1.279524598
2184.21 secs, 31 evals, 16 steps, improv/step: 0.562 (last = 1.0000), fitness=1.279524598
2344.94 secs, 33 evals, 17 steps, improv/step: 0.588 (last = 1.0000), fitness=1.279524598
2422.58 secs, 34 evals, 18 steps, improv/step: 0.611 (last = 1.0000), fitness=1.279524598
2584.49 secs, 36 evals, 19 steps, improv/step: 0.632 (last = 1.0000), fitness=1.279524598
2694.73 secs, 38 evals, 20 steps, improv/step: 0.650 (last = 1.0000), fitness=1.279524598
2838.59 secs, 40 evals, 21 steps, improv/step: 0.667 (last = 1.0000), fitness=1.279524598
2914.66 secs, 42 evals, 22 steps, improv/step: 0.682 (last = 1.0000), fitness=1.279524598
3049.72 secs, 44 evals, 23 steps, improv/step: 0.696 (last = 1.0000), fitness=1.279524598
3151.08 secs, 46 evals, 24 steps, improv/step: 0.708 (last = 1.0000), fitness=1.279524598
3234.90 secs, 47 evals, 25 steps, improv/step: 0.680 (last = 0.0000), fitness=1.279524598
3389.25 secs, 49 evals, 26 steps, improv/step: 0.654 (last = 0.0000), fitness=1.279524598
3534.79 secs, 51 evals, 27 steps, improv/step: 0.630 (last = 0.0000), fitness=1.279524598
3618.65 secs, 52 evals, 28 steps, improv/step: 0.607 (last = 0.0000), fitness=1.279524598
3690.66 secs, 54 evals, 29 steps, improv/step: 0.621 (last = 1.0000), fitness=1.279524598
3851.78 secs, 56 evals, 30 steps, improv/step: 0.633 (last = 1.0000), fitness=1.279524598
3900.20 secs, 57 evals, 31 steps, improv/step: 0.613 (last = 0.0000), fitness=1.279524598
3982.59 secs, 58 evals, 32 steps, improv/step: 0.625 (last = 1.0000), fitness=1.279524598
4038.91 secs, 59 evals, 33 steps, improv/step: 0.606 (last = 0.0000), fitness=1.279524598
4174.31 secs, 61 evals, 34 steps, improv/step: 0.618 (last = 1.0000), fitness=1.279524598
4210.19 secs, 62 evals, 35 steps, improv/step: 0.629 (last = 1.0000), fitness=1.279524598
4353.89 secs, 64 evals, 36 steps, improv/step: 0.639 (last = 1.0000), fitness=1.279524598
4437.98 secs, 66 evals, 37 steps, improv/step: 0.622 (last = 0.0000), fitness=1.279524598
4518.55 secs, 67 evals, 38 steps, improv/step: 0.605 (last = 0.0000), fitness=1.279524598
4632.34 secs, 69 evals, 39 steps, improv/step: 0.590 (last = 0.0000), fitness=1.279524598
4783.00 secs, 71 evals, 40 steps, improv/step: 0.600 (last = 1.0000), fitness=1.279524598
4896.17 secs, 73 evals, 41 steps, improv/step: 0.610 (last = 1.0000), fitness=1.279524598
4972.16 secs, 74 evals, 42 steps, improv/step: 0.619 (last = 1.0000), fitness=1.279524598
5009.32 secs, 75 evals, 43 steps, improv/step: 0.628 (last = 1.0000), fitness=1.279524598
5175.93 secs, 77 evals, 44 steps, improv/step: 0.636 (last = 1.0000), fitness=1.279524598
