N_Jobs_Total: 3024
N_Runs: 275
Job: 177, N_Quanta: 16, epsilon: 0.949, NT_per_Second: 400, mem_slope: 0.0125
Job: 178, N_Quanta: 16, epsilon: 0.949, NT_per_Second: 800, mem_slope: 0.0125
Job: 179, N_Quanta: 16, epsilon: 0.949, NT_per_Second: 1600, mem_slope: 0.0125
Job: 180, N_Quanta: 16, epsilon: 0.949, NT_per_Second: 3200, mem_slope: 0.0125
Job: 181, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 12, mem_slope: 0.0125
Job: 182, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 25, mem_slope: 0.0125
Job: 183, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 50, mem_slope: 0.0125
Job: 184, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 100, mem_slope: 0.0125
Job: 185, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 200, mem_slope: 0.0125
Job: 186, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 400, mem_slope: 0.0125
Job: 187, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 800, mem_slope: 0.0125
